n,ime,i,j,c1,c2
6,"2D Grid Graph for [2, 3]",1,2,1,2
6,"2D Grid Graph for [2, 3]",1,3,1,1
6,"2D Grid Graph for [2, 3]",1,4,1,1
6,"2D Grid Graph for [2, 3]",2,2,1,1
6,"2D Grid Graph for [2, 3]",2,3,1,1
6,"2D Grid Graph for [2, 3]",2,4,1,1
6,Circular Ladder graph,1,2,2,1
6,Circular Ladder graph,1,3,1,1
6,Circular Ladder graph,1,4,1,1
6,Circular Ladder graph,2,2,2,1
6,Circular Ladder graph,2,3,1,1
6,Circular Ladder graph,2,4,1,1
7,Random Block Graph with 3 blocks of order 3,1,2,1,2
7,Random Block Graph with 3 blocks of order 3,1,3,1,1
7,Random Block Graph with 3 blocks of order 3,1,4,1,1
7,Random Block Graph with 3 blocks of order 3,2,2,1,1
7,Random Block Graph with 3 blocks of order 3,2,3,1,1
7,Random Block Graph with 3 blocks of order 3,2,4,1,1
8,"2D Grid Graph for [2, 4]",1,2,2,2
8,"2D Grid Graph for [2, 4]",1,3,2,2
8,"2D Grid Graph for [2, 4]",1,4,1,2
8,"2D Grid Graph for [2, 4]",2,2,2,1
8,"2D Grid Graph for [2, 4]",2,3,1,2
8,"2D Grid Graph for [2, 4]",2,4,1,1
8,Circular Ladder graph,1,2,2,2
8,Circular Ladder graph,1,3,2,1
8,Circular Ladder graph,1,4,2,1
8,Circular Ladder graph,2,2,2,1
8,Circular Ladder graph,2,3,1,2
8,Circular Ladder graph,2,4,1,1
9,"2D Grid Graph for [3, 3]",1,2,3,3
9,"2D Grid Graph for [3, 3]",1,3,2,1
9,"2D Grid Graph for [3, 3]",1,4,1,2
9,"2D Grid Graph for [3, 3]",2,2,2,2
9,"2D Grid Graph for [3, 3]",2,3,2,2
9,"2D Grid Graph for [3, 3]",2,4,1,2
9,Random Block Graph with 4 blocks of order 3,1,2,2,1
9,Random Block Graph with 4 blocks of order 3,1,3,2,1
9,Random Block Graph with 4 blocks of order 3,1,4,2,1
9,Random Block Graph with 4 blocks of order 3,2,2,1,1
9,Random Block Graph with 4 blocks of order 3,2,3,1,1
9,Random Block Graph with 4 blocks of order 3,2,4,1,1
10,"2D Grid Graph for [2, 5]",1,2,2,2
10,"2D Grid Graph for [2, 5]",1,3,2,2
10,"2D Grid Graph for [2, 5]",1,4,2,2
10,"2D Grid Graph for [2, 5]",2,2,2,2
10,"2D Grid Graph for [2, 5]",2,3,1,2
10,"2D Grid Graph for [2, 5]",2,4,1,1
10,Circular Ladder graph,1,2,2,3
10,Circular Ladder graph,1,3,2,2
10,Circular Ladder graph,1,4,1,1
10,Circular Ladder graph,2,2,2,2
10,Circular Ladder graph,2,3,1,2
10,Circular Ladder graph,2,4,2,2
10,Random Block Graph with 3 blocks of order 4,1,2,1,1
